ID,beer_ABV,beer_name,beer_style,review_appearance,review_palette,review_taste,review_aroma,text,label
45,8,Heresy,Russian Imperial Stout,4,4,5,4.5,"Poured with a minimal tan head over black colored liquid. Nose is very heavy on the Jack Daniels/bourbon thing, some roasty chocolate lies behind that. The taste was very mouthcoating with slick, oily chocolate, oakiness, more bourbon smoothness with a touch of malty sweetness...heavy on the palate. Finished silky smooth and chocolatey, a superb dessert beer but be forewarned: if your not into bourbon overtones this may not be your cup of tea.",2
46,5.2,Fat Tire Amber Ale,American Amber / Red Ale,2.5,3,2.5,2.5,"Thanks to my friends retrieving a bomber from North Carolina where they were on spring break. Poured into my big glass mug because it was the only thing big enough for the whole bomber. Poured a very lite amber with a little too much head for my taste. The rest of the beer (smell, taste, mouthfeel) was nothing at all spectacular. Finally, this beer was way too expensive for what was at best an average amber. $4.50 a bomber was just dissapointing. I was told by someone I previously trusted that this was an awesome beer. Average at best.",0
47,7.5,Southampton Imperial Baltic Porter,Baltic Porter,4,4.5,4.5,4.5,"Bomber into a pint glass, with a different label than what's pictured. Let's hope that means more distribution of Southampton's brews. Appearance: Almost opaque, with amber hues discerned on the bottom and on the side of the glass slightly in front of some light. Slightly sticky lacing and a head that's pretty large, but even with a vigorous pour dies a bit more quickly than I wanted. Smell: Balance is the word. I've found a new definition for complexity -- so many things so perfectly done. Slightly burnt malt, sweet chocolate, slight molasses, sweet raisins, a hint of coffee, and notes of dark fruit, backed by the faintest of hops. This isn't taking me to new olfactory levels, but everything is near perfect. Taste: Also ridiculously balanced. Somehow the sweetness, and it's pretty damn sweet, is done so well that it's the furthest thing from cloying, which I've never witnessed before. Usually with great Baltic porters, at least in my experience, much of the complexity comes from the insanely toasted nature melded with everything else. Here, though, the balance of sweetnesses, if you will, are very very nice. The raisins, molasses, dark fruit, sweet and slightly toasted malt, and faint hops lingering are all done to near perfection. It won't knock you on your ass with some type of divine religious experience, but what it does it does beyond well. Mouthfeel: Big, rich, full, and creamy. Slight carbonation somehow works; once again it doesn't feel cloying and is welcoming sip after sip. Drinkability: The alcohol's not discerned by me, but it's felt in the best of ways by the end. And it's perfect enough for a nice night cap or after dinner drink, and the bomber is the perfect size. I think I'll be snagging a few bottles of this, especially for the $4.50 price tag. Try it for sure, especially if you're wary of the style, as this is extremely balanced and less insane on the palate, in my opinion, than most Baltic porters that I've had, which makes it perfect for an intro to the style I think.",2
48,5.7,Blue Moon Harvest Moon Pumpkin Ale,Pumpkin Ale,4,3,2,2,"This pumpkin ale pours a nice copper color. The head was very nice and foamy, staying for some time. Unfortunately, the smell was not of pumpkin or any other spice which I could recognize. The taste was sadly bland. Certainly a pumpkin ale which could be skipped.",0
49,5,Cantillon BlÃ¥bÃ¦r Lambik,Lambic - Fruit,5,5,5,5,"Opened this bottle up at my girlfriends medical school graduation party. Shared with a few friends, served around cellar tempature. This was the 4th great sour of the afternoon...we started off with some bullfrog el rojo, next was the veritas 003, followed by some russian river deviation and to end the night a 750ml bottle of 2007 Blabaer. Cap was a bit rusty and smelled like rotting fish...cork was in perfect condition. Upon opening a beautiful stream of white foam with purple tints began to creep its way out of the bottle. The beer pours a deep purple color with a white/pinkish head. Aroma was the most increadable thing i have ever put my nose too. The first thing i notice are the danish blueberries. Its like im smelling fresh blueberries at the local farmers market in the height of their season. This is followed by a subtle funk. Some sour green apples, lemons, cocoa and as it warms a bit it begins to smell exactly like blueberry pancakes. Taste was supurb. A nice blueberry sweetness without being too overpowering, followed by the same blueberry flavor but this time they are very tart. Sour fruits galore in this one, just layers of complexity dancing over your tounge. A nice acetic feel with a bit of wet hay in the mix. The mouthfeel of this lambic is the best i have ever had. Nice smooth carbonation very creamy and goes down better and nicer then anything. The drinkability of this beer is outstanding. Its so flavorful and nice i could drink this all night. This is the most increadable lambic i have had the pleasure of drinking. If you are able to get your hands on a bottle, it will be a wonderful experience.",2
50,6.4,Adelscott,Smoked Beer,2.5,2.5,1.5,2,"330ml bottle poured in its own glass (close to a Weizen). If you like a good beer and a good Whiskey, don't try this beer! It tries to create a ""best of both worlds"" but the result is catastrophic. A: Clear caramel color with a small head. Small retention and no lacings S: Sweet smell of malts (really smells like Whiskey). Oak. Bit fruity. I could not feel any smoke to a Smoked beer T: Very sweet, first of all. Whiskey malts and that's it. No hops, no bitterness M: Medium body and medium to low carb D: Just avoid it",0
51,7.5,TrÃ¶egs Perpetual IPA,American IPA,4,4.5,4,4.5,"Bottle shared by djmiller92. Thanks Dave. The beer is yellow, perhaps slightly orange, with a finger of white head that leaves some decent lacing on the tulip glass. The aroma is dominated by citrus and hops. Very nice. The flavor follows suit, with notes of tropical fruit, as well as a citrus and floral presence. Subtle notes of pine are present as well. Alcohol presence is well disguised. Malt is secondary to hops, as it should be. A really tasty IPA from an east coast brewery.",2
52,6.8,Best Of Beer Camp: Weizenbock - Beer Camp #37,Weizenbock,4,4,3.5,3.5,"(12oz bottle from Beer Camp mixer pack). Pours a cloudy yellow with a white pillow-top head. Aroma has banana, clove, wheat and a bit of citrus. Taste is sweet with light bittering hops on the end. Medium bodied with a thick texture. Pleasantly bitter finish (though slight). This is a very drinkable beer and I must say that I like it quite a bit.",2
53,5.6,Super Bock,American Adjunct Lager,2,2,1.5,2,"330 ml bottle, now available in Norway (Vinmonopolet, bestillingsutvalget). Pale golden colour with fluffy white head that doesnt last very long, some lacing. Grassy sweet aroma with notes of maize/corn and molasses, hints of vomit. Bland flavour, typical industrial adjunct lager, some maize sweetness, low bitterness. I think even Sagres tasted fresher than this one. Not a beer Ill buy again. If I go to Portugal Ill probably stick to vinho verde.",0
54,7,SOS (Save Our Shore),German Pilsener,4,4,4,4,"Slightly hazed golden hue with a fully formed thick billowing white head. Fine speckled lacing left behind as the head dwindles down. Lemongrass, herbal qualities, very nice light biscuit malt presence...solid pils from Louisiana. Upfront citric, grassy, biscuit malts and a dry yeast finish. Mouthfeel is light bodied even carbonation going on. Drinkability all day effortless beer drinking experience.",2
55,6.5,High Tide Fresh Hop IPA,American IPA,4,5,4,4.5,"Finally found some wet hopped IPA's. This is my first try at an offering from Port Brewing. Poured from bomber into tulip a nice opaque golden wheat with some bubble action. Head was big and bright and accompanied by sticky lacing. High Tide has a fantastic nose. Big aroma's of grapefruit, lemon, pineapple, orange, and tangerine! This IPA is downright tropical. Flavor was smooth up front with C-Hops hitting sharply giving the tongue a barrage of beautiful citrus notes followed by a nice bitterness and light malt letting the hops do the talking. Mouthfeel was medium, smooth, and refreshingly creamy Drinkability is still pretty good, if you don't go into palate shock first. The ABV is just right, making it hugely session forward.",2
56,4.9,Goldhorn Club,Euro Pale Lager,2,2,1,1.5,"Pours really pale, some foam laying on top and quite some carbonation in there. Dull looking beer. Malts, perhaps some sugar and alcohol. Typical euro pale smell thats really not there. Comes on palatte weak. Some alcohol tone lingers with the taste of can, fish and perhaps some malt in there? Really disgusting. Bad, bad, bad. Really bottom mark on this one.",0
57,7.8,Hades Ale,Belgian Strong Pale Ale,4.5,4.5,4.5,4.5,"Great Divide Hades Ale is golden in color, and has a wonderfully delicate malt nose with hints of spicy bitterness. A beautifully clean malty sweetness followed up, without hesitation, by a crisp spicy hop assertiveness that immediately leads to a wonderfully dry finish that leaves the body of the beer coating the inside of the mouth. An underrated beer from one of the best breweries I know.",2
58,13.5,Unplugged Iced Barleywine,English Barleywine,4.5,3.5,4,4,"Bottle courtesy of jj21, thanks again! Pours a beautiful garnet color, clear and bright with a faint white head. Aromas are kind of dusty, vegetal, with hints of figs, oak, and a bit sugary. Kind of odd smelling, it's certainly interesting. Taste is boozy, but not overly so. Some tartness, (cherries?) dark fruity sweetness, a bit woody, and little bit spicy. Finish is warm, boozy, and with crisp and earthy hop flavors. Mouthfeel is surprisingly light, quite smooth, with moderate body. Overall, a unique barleywine, more refined than I expected, I glad I got to try this, very interesting and tasty beer.",2
59,12,Founders Nemesis 2010,American Barleywine,3.5,4.5,4,4.5,"Appearance -- Pours an incredibly dark brown with chestnut highlights and a slim sudsy beige head. Not much in the way of head retention. Smell -- Juicy grapefruit, tropical fruits, figs, dark fruits, hint of woodsmoke, and plenty of raw and unrefined sugars. Taste -- Bright grapefruit, tropical fruits, figs, dark cherry, prune, molasses, cocoa, char, faint leather and woodsmoke. Ample hop bitterness crescendos toward the finish. Lingering flavors of grapefruit pith, date sugar, and pine reisn. Alcohol is perceptible, but in reasonable proportion for the style. Mouthfeel -- Full-bodied, a bit chewy, with ample fine carbonation. Pretty damn good. Drinkability -- I was really concerned about this beer when I kept hearing people refer to it as a Black IPA. Boy was I relieved. A true American Barleywine with rich dark malt accentuating dark fruit notes. Good stuff, though I can't compare it to 2009. Wish I could've gotten more than just one bottle at the release to try this again in a few years time...",2
60,4.9,Samuel Adams Boston Lager,Vienna Lager,4,3,3.5,2.5,"It's been a while since I've had one, but the other day I was at an airport bar, and this was the best they had to offer, so I gave it another try. Still not impressed. Appearance was pretty good, with a healthy foamy off-white head that left a bit of lace. Light honey color. Aroma was light, a bit corny, not too much hops. Flavor was also pretty light, and unimpressive. Not much balance or character. Very faint light malt, teeny bit of hops, perhaps a bit of sweet corn and honey. Some cinnamon lingers, but a faint acrid note emerges in the finish.",0
61,9.2,Hopsickle Imperial India Pale Ale,American Double / Imperial IPA,3.5,4.5,4,4.5,"A- Poured with virtually no head; just a diffuse hazy layer and edge lacing over an optically clear dark orange-amber body. Served in tulip which showcased some active carbonation from the sides of the glass. S- Holy Sh*t!! I can smell this from across the room!! Bucketloads of ripe juicyfruit-like hops. There's some crystal malt back in there somewhere, but this is just DOMINATED with those high-alpha citrus and juicyfruit-like hops. Hands-down one of the most amazingly hop-forward beers to ever grace these nostrils! T- Wow. In the mouth, you get a brief glimpse of the pale and crystal malt base, but that is quickly overwhelmed by an INTENSE juicyfruit-like hop flavor. Right into the very dry finish, you have an intense, lingering, citrus pith-like bitterness... lingers like a resin, stripping the enamel from your teeth! This must be the Hop-Head's dream!!! It's like chewing a handful of whole leaf hops! M- Medium body with a moderately soft carbonation and moderate astringency as well. D- The drinkability really suffers from the astringency and one-dimensionality of the hop dominance. It was a sheer pleasure to taste this stuff, but I could not drink a second glass of this in a sitting...",0
62,4,Loft,Belgian Pale Ale,3,2,2,2.5,"Light Orange. Clean, balanced but subtle aroma. The aroma is very spicy, hoppy and fruity. The flavor delivers a very nice citrus and fruit taste from the hops. The added lime leaves add a touch of lime flavor. A nice American wheat ale with a broad range of flavors but this doesnt seem to be in the Belgian mold to me.",0
63,8,Atomium Grand Cru,Belgian Strong Pale Ale,3,4,3,3,"On tap at Maduro. $3 for a massive Chalice. I hear there are 6 grains in here.interesting I immediately notice how fast the head dissipates and that the beer appears to be flat. This is somewhat misleading as there are plenty of minute, champagne like bubbles in there. They are just difficult to see. Unfortunately this will play out later giving the mouthfeel a deceptively flattish and overly light body. Its not flat really just dead feeling. Head is initially two fingers thick but it disperses and shrinks to nothing quickly, no lace, no clinging, nada. The aroma is spicy and confused: fruity esters, bananas, coriander, pepper, powdery yeast, and honey. The flavor is dominated by yeast and booze. Very dry feel from the yeast. Granny smith apples and grapes, peaches and pineapple in the flavor. Muddled. Drinkability is low. I dont find this beer cohesive and remember it being much better in the bottle.",0
64,5,Leroy Stout,Milk / Sweet Stout,3,2.5,3,3,"Sampled at Karakterbier Weekend - Vichte on 11/1/2003... Appearance: dark brown, somewhat translucent for a stout, a thickish tan layer of foam that dissipates rather quickly Aroma: not much going on... some sugary sweetness and a bit of malt, root beer Flavor: very peculiar!... a bland malt flavor and not much roast at all, somewhat saccharine-sweetness (like a diet drink), also an odd component of lychee fruit and a meaty yeastiness Mouthfeel: medium body, light carbonation, sugary Overall Impression: Quite disappointing. How can a brewery that makes the wonderful Hommelbier come up with this? It was a waste of a festival token.",0
65,4.2,Coors Light,Light Lager,1,1,1.5,1,"Poured directly from the keg nozzle into my mouth while I was suspended upside down, supported by two sweaty fraternity brothers counting aloud the number of seconds I was in this precarious position. Apparently this is referred to as 'the kegstand.' As this was a challenging orientation to adequately review the beer, I opted for a foamy pour into a red plastic cup. Due to the opacity of my stemware and poor lighting in this guy's backyard, I can only judge the beer's color by the stains on my shirt from the kegstand and the puddles of beer-vomit on the cement. Likely a horrid Mountain Dew color or a vile urine-like hue. Again, my sense of smell has been dulled by the multiple partygoers' urinating on the fence and the overwhelming scent of Axe Bodyspray--though these odors may be emanating from the beer. Sweaty and tired from bump 'n' grindin' in the living room, this mineral water-like beer proved to be an excellent post-dance hydrator, albeit a metallic one. Kinda like decaf coffee, only more pointless. With beer pong skills as limited as mine, this yellow fizz better be drinkable. It turns out it's not, but the two dozen or so consumed leads me to think otherwise. I look forward to my next brobeer tasting research.",0
66,5,Castle Draught,American Adjunct Lager,1.5,1.5,1.5,1.5,"330ml bottle 5,0% Abv. Tasted with South Africa Lager. The bottle states that Castle Draught was ""brewed to celebrate 115 years of fine South African ingredients"". Appearance: Castle Draught pours a very very light golden colour with a smaller than average white head that dissipates very quickly leaving no lace. Smell: Definitely a stronger nose than the South Africa Lager, but I am still undecided whether that is a good or a bad thing. Although adjuncts still dominate the nose it is far less sweet than expected. The more I smell the more I wish this beer had a much weaker nose. There is a strange and pretty unpleasant almost chemically/metallic smell in the beer, a little bit of cooked vegetable. Taste: The taste pretty much follows on from the smell and is again quite bad. Metallic and adjuncty and not something I want to drink very much more of. Mouthfeel: Very light body and unpleasantly over carbonated. Drinkability: How typical, even a limited 'special' brew from SAB tastes dreadful. Given it's not as bad as Castle Lager but still a beer I will most certainly avoid for the rest of its (thankfully limited) life.",0
67,4.5,Mort Subite Gueuze,Gueuze,2.5,2,2.5,1,"This beer may smell good if you are into Champagne but it is not a good beer smell. Nice color with a this head. The bubbles feel kind of nice on the tongue, but thats the only thing positive I can say about this beer. I would rather drink canned coors light for a week than drink another one of these. This is the first (and LAST) Gueuze I have tried. I sat down on three separate occasions and tried the beer and thought it was horrid each time. I gave the rest to a friend (who likes gueuze) and she thought it was good. So I didn't get a bad batch. I just have no appreciation for this style. No big deal there are plenty more beers to drink out there.",0
68,7.4,Tocobaga Red Ale,American Amber / Red Ale,4,4,4,4,"Poured a slightly hazy reddish brown with a smallish head that dissipated rather uickly to a thin film. Little lace expected but some clings rather tenaciously for a long while. Smell is hoppy with citrus and a faint malt in the background. Taste is along those lines in that hops predominates with a slight citrus note and some malt following in the distance though it is more noticeable in the aftertaste as the hops fades. Nearly full in body, this brew has good carbonation, tangy upfront with a fairly quick fade. A citrusy hop note lingers longest, even surpassing the malt. Some warming occurs late. Another good beer from CCB.",2
69,7,Abbey Belgian Style Ale,Dubbel,3,4,4,2,"I'm not an expert in Belgian Style ale's but this reminds me a lot of a hefeweizen that's been skunked, has WAY too much banana or was otherwise mis-handled. However, if you remove the banana aspects by switching yeasts to a more standard ale yeast I think it would be a great Belgian. It's on the malty side, but with a balanced hop presence. If you like banana you'll love this one, it's just not for me. Won't finish the 6 pack. It's going on my ""i need to offer a beer to someone to be polite but I really dont know if you're worth a good beer so have one of these"" shelves in the beer fridge right next to the Bud Light Wheat.",0
70,5,LongShot Cranberry Wit,Witbier,3.5,3,3.5,3.5,"Two by two this mixed six goes, into an way over-sized tulip. A hill of stiff eggshell white head, a cloudy honey-colored body. Smell is upfront with sour wheat & general stuffiness. Further down the road, a squeeze of orange, macerated spices(a little too much cinnamon), & something like lemon sugar cookies way in the back. Taste is predominately semi-sweet grain. Whipped up(if dusty) consistency. The coriander & grains of paradise stand out more then the rest of the additives, with the cranberry just barely making an appearance, tarting up the back end, & lingering along with a sharp grassy note. I don't think it's refreshing.",0
71,7.5,TrÃ¶egs Nugget Nectar,American Amber / Red Ale,4,4.5,4.5,4.5,"Thanks to big, bad Chris for coming through with the latest haul of hard to get goodies! Clear copper with a fine creamy eggshell head that lasts and leaves sheets of lace on the glass. Nice resinous hoppy aroma with pine, citrus, herbal and floral hop notes and mildly toasty grain. The malt flavors are smooth and lean like a lager while the hop flavors are more pronounced and complex. Finishes squeaky clean. Medium light bodied with prickly carbonation. This is an amazingly easy to drink, smooth, hoppy and delicious beer. The alcohol is very well hidden for 7.5%. A fine ale indeed and a rare treat in Indy.",2
72,9,Chimay Grande RÃ©serve (Blue),Belgian Strong Dark Ale,5,4,5,5,"This is simply a great beer. It looks nice, smells good and tastes even better. The flavors of dark fruits and a trace of vanilla all blend well within the perfect carbonation. It's taste holds up from first sip to last while the head leaves a nice lacing all the way down. There are a lot of Belgian strong dark ales that successfully emphasize one partucular aspect of the style's taste. Chimay has taken a more balanced approach and they have pulled it off. Only the high ABV, which you don't taste at all, will keep you from having a second. World class.",2
73,8,River Horse Belgian Freeze Belgian Style Winter Ale,Belgian Dark Ale,4,4,3.5,4,"poured a very deep reddish-brown color with modest off-white head that fell to a sparse coating. Smell is of caramel, dark fruits (prunes, figs) and roasted malt. Taste is very sweet and malty with notes of caramel, molasses, raisins, plums present. I can detect a very slight hop bitterness, but only for a moment, then its gone. Alcohol is hidden very well, and its hard to believe this is an 8% beer. Finishes very mild with some soft notes of malt and a a nice fruitiness. Nice and creamy in the mouth. This beer was a pleasure to drink and eay going done, Very nice job from River Horse.",2
74,7.3,Green Flash West Coast I.P.A.,American IPA,4,4.5,3,3.5,"A - Pale cloudy amber in color. Nice thick, rocky off-white head with excellent retention. Plenty of lacing to go around. There is floating debris. I Don't know if that's normal for this beer. S - In the nose you immediately get fresh piney hops and lots of it. Although the hops are very aromatic the malt comes through nicely in the background sweetening it up a bit and leaving a pleasant grassy character. T - Tons of piney hops up front that devastate the palate with bitterness. In a good way. The malts also seem to be playing their part well to balance it all out. M - A tad light bodied. Sort of thin. Carbonation is good though. D/N - Pretty drinkable stuff here. Could easily relax and drink this beer through the night. Although Im not sure the price is right for this one.",2
75,7.5,Imperial Cherry Amber Ale,American Amber / Red Ale,3,3,2.5,3,"Another tip o' the Wood to my local trader, tone77, who is keeping me in bottles. From the bottle: ""Let's face it. Brewers get bored of making the same beers everyday. That's why we introduced our line of Limited Edition Beers. What's in this bottle is a unique brew conceived by our crack team of alchemist brewers and produced with painstaking care for the craft beer drinker in you."" My aggro pour created a foamy finger of tawny head with good retention. Color was a slightly hazy reddish-deep amber. Nose was very caramel malt sweet. I waited until 1500 (Local, EST) for my first sip as a toast to Don Younger, R.I.P. It was very malty with a slight sour cherry taste in the mouth. The mouthfeel was rather thin. The finish left me with an impression of cherries, but it was overall muted. I was not terribly impressed.",0
76,5.5,Pumpkin Ale,Pumpkin Ale,3.5,4,4.5,4.5,pours cloudy copper orange with a 1+ finger head that left a small amount of lacing smells of pumpkin bread and spices just like it should but i also pick up this rubber smell which take a point off taste is great - bam right off the bat you are hit with spice and sharp with the carbonation being high - then mellows with a good amount of pumpkin mouthfeel is a nice and light body beer with high carbonation to give nice it a dry finish drinkability is great @ 5.5av with this kind of taste puts right up there with the best of them imo,2
77,9.5,ÂŽaibo,Euro Strong Lager,3.5,3,3,3,"A 500 mL bottle. A portion went into the chili and the remainder into my glass. A: The lager has a fortified color, looking more like a hefeweizen than a pale lager. A thin white head never amounted to much. S: The nose is strong, full of alcohol. Sweetness, including apples and creamed corn, is equally strong. The sweetness gradually evolves into a tropical aroma, interesting do doubt. T: Sickly sweet with cinnamon sweetness alongside candied apples. Plenty of booze to go around. Definitely in line with a Euro strong lager, so much so that I'd call it a hangover in a bottle. M: The mouthfeel is sweet and fusel, boozy with lots of fruit. That's not the good kind of fruit though. D: The lager has an alcoholic flavor, like mouthwash without the peppermint. On the upside, it's cheap and provides a near-instant buzz.",0
78,7.2,Rainier Ale,American Malt Liquor,1.5,1,1,1,"Dumped from a twelve ounce can into a standard beer mug, the head rises assertively and has the color and consistency of Cool Whip. The body is straw yellow, translucent. Smell: Opens with a wad of cotton candy that has perhaps been mysteriously lingering in a corpulent person's back pocket for an afternoon -- a musty sweetness. The middle pulls out some wacked weed earthiness, some hints of hop activity, and finishes with a waft of water-logged garbage: dank, sickly sweet. Taste: Cheek-clenching (all four of them) at first, due to an extreme pinch of spoiled powder sugar sweetness, worse than that, it's like taking a shot of Equal straight on the tongue. The middle has an old orange pulp bite, like sucking a wedge that has already been sucked and left to sit for at least an entire day, not that I've ever done that! Towards the end, the alcohol heat takes over, warming the throat to the point where I think ""yes, yes, warmth! take over the taste!"" However, the alcohol heat has the reverse effect of reinforcing the saccharine sweetness and the painfully thin and rusty hop presence, if you can even call it a ""presence."" Mouthfeel: Well, imagine having a cold, a sinus drip...",0
79,8,ÃœberSun (Imperial Summer Wheat Beer),American Pale Wheat Ale,4,4.5,4.5,4.5,"A- Clear pale amber/orange body with big fluffy white head. Head slowly fades to 1/2 finger with excellent head retention. Not what I expected from this brew but it looks great! S- Smell is a nice combination of a DIPA and a wheat ale. Lots of grapefruit on the nose with an essence of floral hops. A sweet yeasty backbone can be dected too. T- Much like the smell. Lots of grapefruit and floral hops up front with a solid, sweet, bready wheat backbone. The finish is mostly floral hop taste with hints of grapefruit and wheat. Both a slight, crisp bitterness and a sweet yeasty, bready taste linger on the palate. Take a great,well-balanced DIPA and a good wheat ale and combine them and that is what this one tastes like. M- Medium carbonation. Body is both yeasty from the wheat and oily from the hops. Heavy for a wheat ale but still very smooth. Goes down easily. D- Great job by Southren Tier. Alcohol is very well hidden by the big complex taste and mouthfeel. I had this as a reccomendation by the bartender and I took another 22oz bomber home with me to review. Something that I can't wait to revisit. I am looking foreward to trying other offerings from Southren Tier!",2
80,6.2,Hops Infusion,American IPA,3,3,3,2.5,"Smells lemony, with some grapefruit and unsweetend tea. Taste is off for an ipa. More of a hopped up pale ale. It has a lemon [strong] tea bitterness that doesn't quite hit the ipa mark. Not close to what an am. ipa should taste like IMO. Luckily I bought a single 12 oz. so I don't feel too bad.",0
81,7,Slam Dunkel,Weizenbock,4,4,4,4,"A light russet color with plenty of yeast floating and a plethora of carbonation bubbles racing up the sides of the tulip. Thick creamy head of off white/yellow has amazing retention. Milk chocolate, malt balls, banana, hints of clove, spice, yeast, and a wheat ester. Solid beer. Nice creamy mouthfeel that ends in thick carbonation and thick with malt. Great milk chocolate flavors and banana make this like a...you guessed it a chocolate covered banana. Very creamy and nice on the tongue with some alcohol burn on the finish.",2
82,6,11th Anniversary Pale Ale ( Project XI ),American Pale Ale (APA),4,2.5,4,2,"Poured from my growler, perfectly clear light gold, 1/4"" of white foam for a cap , nice lacing Smell was of light malt and a hint of alcohol no hops whatsoever Taste is sweet malty, alcohol is evident in the back end which does have a bit of a chemical taste, I won't go as far as nail polish remover as had been suggested but its unpleasant. Again no hop presence whatsoever. Mouthfeel is nice fits the style well good carbonation and a bright spot here Overall hmmm well I was really excited to see ""Special Anniversary Beer"" on the brewery Facebook, but this is just a major bore. I love the brewery and their presence in the community but please just do some stuff that's exciting and maybe (god forbid) hoppy. Everything seems lately to just be a slight variation of the last and neither being exceptional. Yes I could drink this all day and my palate show no wear, but why must they all be light malt sweetness and miniscule or no hop presence. End rant.",0
83,11,Choklat,American Double / Imperial Stout,4,5,4.5,4.5,"A - black with ruby highlights and a thin brown head. S - Fantastic chocolate aroma. bittersweet chocolate, chocolate milk. T - Creme de cocoa, chocolate milk, Hershey's chocolate syrup, mocha and roasted coffee. M - Smooth and creamy. Full body but smooth and velvety. D - A tasty stout that is pretty much all chocolate but still tasty.",2
84,7.3,Founders Summer Braggot,Braggot,3,4,3,3,"First sip: this is quite good, second sip: this is really good!, third sip: okay, its good but its starting to be too sweet, every sip after that: I can't take any more of this! That was my experience with this braggot. My first braggot and I say that I might not be too much of a fan with the style. The beer looked like dishwater in my glass. The smell was really nice with a natural honey sweetness. The flavor was also all honey with an alcohol kick in the finish. But there was nothing else to offset the honey sweetness. Overly sweet and very cloying in my opinion. I finished the glass but barely. Still, it's good to see Founder's experimenting and trying new beers out.",0
85,5.5,Brewer Patriot Collection - 1790 Root Beer Brew,Herbed / Spiced Beer,3,3.5,2,2,"Part of the 4-pack limited release Patriot Collection, 12 oz bottles. 5.5% ABV. Brewed with Herbs, Spices, Vanilla, Honey, and molasses. Unfiltered. Pours out to a murky amber, with bits of sediment settling to the bottom of the glass. Forms a soapy light yellow head with average retention and sparse lacing. Moderate to mild carbonation. The aroma is very interesting...most striking is the sasparilla/licorice root. My mom used to put sasparilla root into the pan of water which sat on top of our wood furnace to humidify and smell up the place, and this takes me right back to my childhood. You can smell honey and wintergreen above and beyond this. The brew begins with sassafrass, anise and fennel up front and loud, followed by a pungent middle note of licorice, followed by molasses, honey, earth, and caramelized sugars in the finish. Mouthfeel is very syrupy (much syrup-ier than you would expect for a 5.5% ABV brew) with a medium body. This beer has a beginning, middle, and ending like no other, occuring in 3 keenly divided phases. The very mild bitterness comes from the spices, and the licorice adds to a naturally strong and sweet aftertaste. Sour milk before the finish. Drinkability is quite limited. If I were a colonial settler and this is all I had, maybe I'd get used to it. This is an interesting experiment, and it sure tastes authentic compared to what I envision from my readings of colonial ""beer"". Share it with your friends and implant it into your data banks, because you're probably not going to want to drink more than one bottle of this in your lifetime. Fun.",0
86,5.8,Samuel Adams Chocolate Bock,Bock,3,2.5,3.5,2.5,"Bottle into duvel glass. A: brown, almost no head other than a white ring. S: chocolate milk. Not really a good chocolate beer smell. Not how could I say it. beery enough. T: chocolate milk... too chocolatey. They should have used nibs... M: Not bad not good. D: Doesn't taste like much other than chocolate milk. Meh. Give me a real beer.",0
87,5,Samuel Smith's Oatmeal Stout,Oatmeal Stout,5,5,5,5,Arguably todays premier stout and there is no wonder to it's popularity. Dark as midnight this one his the mouth with a take-force flavor but parts the way for a rewarding creamy sweetness that keeps inviting you back for more. A deep coffee and dark chocolate mix. Goes down as smooth as ice cream. I usually find myself having a few in a row before realizing it!,2
88,8,Citra DIPA,American Double / Imperial IPA,4.5,5,4,4.5,"Growler courtesy of Ultraman9000 - thanks, Martin! Pours a hazy burnt orange color with a two finger off-white head. Head retention is great, as is lacing. The aroma is awesome - tons of tropical fruit with pineapple and mango really shining through. Lighter caramel malt notes underly the tropical fruit hops. The taste is much the same, with lots of tropical fruit hoppiness dominating the flavor profile. The is just enough caramel malt sweetness to add some depth to the taste beyond the hops. The bitterness is pretty high, but the alcohol is very well-hidden. Extremely easy to drink - three of us had no problem finishing the growler in not much time. Medium-bodied with moderate carbonation, the finish is pretty dry and bitter with a hint of alcohol warming. Really phenomenal stuff overall. I'd put it right behind the Plinys and pretty close to Dreadnaught and Abrasive in my personal DIPA pecking order.",2
89,4.2,Keystone Light,Light Lager,1.5,1,2,1,"i was looking forward to enjoying a nice delicious beer but unfortunately this was the only beer my room mate had. after taking the first sip i could already tell how bad it was. throughout the entire beer, it tasted like an ass of a cheap beer (example: budweiser and busch). i recommend staying away from this beer at all cost.",0
90,5.4,Great Lakes Holy Moses,Witbier,4.5,3.5,4,4,"On tap in a pint glass at Old Bag of Nails, Hilliard on 6/17/10 A - Light straw-gold. Perfectly clear. White foam holds a thin skim. Very good lacing, though. S - Toasted wheat & grains. Orange peel. Mildly spicy, maybe coriander & clove. The aroma is kind of weak. T - Reasonably crisp, Holy Moses tastes of wheat, grains & vague notion of lemongrass. Prickly hops, though not as zesty as I might expect. Hints of coriander. Light in body with ample carbonation. Finishes crisp; wheat & spices linger. D - Pretty solid overall. It isn't my usual sort of thing but Great Lakes pretty much nailed it for the style.",2
